1;2001-04-11;А;2;27;1;10;3;4;9;4911;5;362;39;10;1147;1;750000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2001-04-14;Б;2;41;43;3;45;21;15;4500;5;248;75;3;4994;0;500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2001-04-18;А;1;9;43;45;20;25;38;3181;5;193;97;4;3757;0;520000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2001-04-21;Б;2;15;5;40;31;8;12;5147;5;305;64;8;1965;0;540000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2001-04-25;Б;4;39;11;10;13;26;31;5231;5;315;63;4;3987;0;560000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2001-04-28;Б;2;2;5;32;19;28;11;5974;5;413;50;11;1527;0;580000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2001-05-02;Б;1;1;38;27;44;3;17;2884;5;183;60;2;4463;0;600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2001-05-05;А;1;15;8;14;20;29;36;5056;5;472;40;6;2562;0;620000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2001-05-09;Б;3;42;41;28;21;18;29;3832;5;159;115;3;4894;0;640000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2001-05-12;А;3;39;22;43;14;28;42;3960;5;215;93;4;4023;0;660000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2001-05-16;Б;4;9;43;28;40;2;23;4837;5;300;69;6;2798;0;680000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2001-05-19;А;4;9;8;32;23;11;38;5973;5;352;60;7;2422;0;700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2001-05-23;Б;2;13;23;4;35;5;15;7230;5;476;50;9;2123;0;725000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2001-05-26;Б;2;35;23;10;33;19;15;7447;5;525;47;23;859;1;750000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2001-05-30;Б;4;18;23;37;5;32;1;4713;5;262;92;3;6483;0;500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2001-06-02;Б;2;35;16;45;14;33;15;5364;5;360;60;10;1755;0;536000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2001-06-06;А;3;41;17;26;37;14;35;5027;5;296;77;5;3653;1;573000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2001-06-09;Б;4;14;20;24;39;9;6;5968;5;337;69;8;2353;0;500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2001-06-13;А;4;31;23;43;26;7;27;5574;5;305;83;5;4058;0;531000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2001-06-16;Б;2;36;21;4;19;32;37;5427;5;289;88;5;4108;0;561000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2001-06-20;А;2;33;16;40;37;6;25;4919;5;278;93;6;3457;0;593000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2001-06-23;Б;2;9;2;44;31;8;29;5965;5;307;83;7;2923;0;624000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2001-06-27;Б;2;24;22;38;35;13;26;6141;5;405;61;18;1104;0;655000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;2001-06-30;А;3;29;1;42;34;38;26;4196;5;248;92;5;3680;0;686000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2001-07-04;Б;3;14;45;8;35;39;3;6989;5;386;63;7;2811;0;713000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2001-07-07;А;2;28;25;38;8;41;24;9541;5;573;79;13;2816;0;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2001-07-11;Б;3;25;12;5;10;22;44;9996;5;545;70;13;2376;0;1050000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2001-07-14;Б;4;9;14;20;31;25;28;10006;5;636;66;25;1349;0;1100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;2001-07-18;Б;3;44;38;30;26;16;7;9676;5;603;69;18;1857;0;1160000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2001-07-21;А;2;14;41;3;13;10;1;10109;5;522;86;10;3600;0;1220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2001-07-25;Б;3;20;27;18;23;35;22;12341;5;746;59;7;5058;0;1275000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2001-07-28;А;4;43;19;32;8;9;15;14265;5;993;45;24;1500;0;1333000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2001-08-01;Б;1;39;45;35;15;27;43;11741;5;861;58;19;2112;0;1400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2001-08-04;Б;4;6;8;40;21;5;1;13716;5;796;61;9;4320;0;1460000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2001-08-08;А;2;29;10;9;16;42;40;12880;5;746;72;15;2875;0;1520000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2001-08-11;А;4;13;43;7;17;14;37;14036;5;835;61;14;2956;0;1580000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2001-08-15;Б;3;27;10;29;31;25;33;12547;5;684;83;15;3047;0;1650000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2001-08-18;А;3;14;30;19;12;35;33;12405;5;748;78;14;3338;0;1725000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2001-08-22;Б;2;5;28;14;1;35;3;17339;5;1206;48;22;2123;0;1800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2001-08-25;Б;3;4;3;45;20;39;17;12427;5;754;73;18;2451;0;1860000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2001-08-29;А;2;42;1;41;21;23;24;12606;5;634;108;15;3676;0;1930000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2001-09-01;Б;1;45;28;17;40;3;6;18029;5;1144;64;13;4551;0;2000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2001-09-05;А;2;6;39;19;31;9;14;16939;5;1054;67;29;1956;0;2090000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2001-09-08;А;2;33;23;9;25;8;31;20978;5;1356;55;25;2411;0;2180000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2001-09-12;А;3;29;21;2;17;22;32;23434;5;1599;43;38;1467;0;2275000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2001-09-15;А;1;35;29;26;21;3;33;22759;5;1302;56;23;2541;0;2370000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2001-09-19;Б;3;19;12;34;35;4;31;16543;5;965;89;19;3651;0;2500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2001-09-22;Б;1;2;22;34;43;4;23;18819;5;1067;80;22;3136;0;2600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2001-09-26;А;3;19;34;4;41;42;18;13567;5;688;124;16;4279;0;2710000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2001-09-29;А;1;10;12;19;40;22;25;17770;5;1165;72;25;2715;0;2820000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2001-10-03;А;3;36;29;26;41;33;31;23468;5;1211;112;19;5740;0;3000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2001-10-06;А;3;18;31;21;41;9;34;26003;5;1573;66;44;1905;0;3060000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2001-10-10;Б;1;17;44;4;45;3;15;24920;5;1506;72;19;4620;0;3120000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2001-10-13;Б;4;17;15;35;21;7;38;33753;5;2302;43;57;1420;0;3200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;2001-10-17;Б;1;37;31;9;41;26;14;26946;5;1895;55;39;2172;0;3330000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2001-10-20;А;1;38;31;3;15;18;30;22472;5;1108;108;18;5357;0;3500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;2001-10-24;Б;1;4;25;22;32;38;43;17167;5;848;119;9;9016;0;3640000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2001-10-27;А;1;9;37;32;39;7;17;25678;5;1604;58;35;2151;1;3800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2001-10-31;Б;4;24;42;32;6;17;9;14356;5;919;65;21;2276;0;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2001-11-03;Б;4;30;25;44;36;22;43;8945;5;403;164;0;0;0;1100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;2001-11-07;Б;2;37;38;6;25;43;35;9418;5;464;131;4;12194;0;1180000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;2001-11-10;А;1;27;31;37;44;30;19;11420;5;523;121;5;10132;0;1250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;2001-11-14;Б;4;30;6;17;39;15;18;13488;5;828;70;10;4653;0;1325000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;2001-11-17;Б;4;34;27;4;5;40;14;14717;5;945;58;25;1759;0;1410000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;2001-11-21;А;2;26;40;38;29;22;24;12609;5;792;79;12;4210;0;1500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;2001-11-24;А;2;39;37;25;22;38;41;13744;5;889;68;18;2708;0;1600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;2001-11-28;А;1;30;40;21;15;23;29;14805;5;751;77;8;5796;0;1690000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;2001-12-01;Б;3;43;35;14;12;11;10;13137;5;693;86;10;4800;0;1780000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;2001-12-05;Б;2;25;2;34;8;24;14;11863;5;662;88;9;5190;0;1880000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;2001-12-08;А;4;26;37;8;36;34;39;11973;5;753;85;14;3673;0;2000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2001-12-12;Б;3;37;9;5;19;10;30;12945;5;793;73;16;2912;0;2100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2001-12-15;Б;4;23;4;1;39;22;25;13226;5;692;91;16;3156;0;2250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2001-12-19;А;1;3;37;1;28;31;43;12818;5;669;117;12;5236;1;2500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2001-12-22;Б;4;41;30;5;25;29;21;16144;5;1035;59;16;3067;0;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;2001-12-26;Б;1;6;44;45;30;19;5;11709;5;566;128;7;8287;0;1500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;2001-12-29;Б;4;29;14;10;26;16;11;25550;5;1573;55;34;2038;0;1750000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2002-01-02;Б;2;18;42;16;11;31;38;8323;5;400;111;10;3578;0;1800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2002-01-05;А;2;9;14;23;6;38;10;15945;5;1043;54;21;2179;0;1845000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2002-01-09;А;1;3;24;42;6;17;11;11933;5;744;74;14;3173;0;1900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2002-01-12;А;4;39;4;34;35;20;11;13898;5;805;77;20;2487;1;1950000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2002-01-16;Б;1;27;7;20;22;33;21;18445;5;1295;36;26;1449;0;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;2002-01-19;А;4;4;26;19;39;40;44;11941;5;642;93;11;4346;0;1055000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;2002-01-23;Б;4;45;18;26;16;37;4;9689;5;550;103;5;9108;0;1111000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2002-01-26;Б;3;26;1;36;24;28;32;10712;5;645;88;16;2867;0;1170000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2002-01-30;А;2;11;9;33;10;1;34;11581;5;647;84;15;2913;0;1230000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;2002-02-02;Б;2;1;25;31;35;12;4;11271;5;630;89;7;6448;0;1300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2002-02-06;А;2;38;24;23;20;31;9;13289;5;762;71;15;2908;0;1365000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;2002-02-09;Б;1;36;30;5;40;38;8;12068;5;677;86;11;4260;0;1420000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2002-02-13;А;4;22;18;6;14;34;19;14726;5;917;60;12;3677;0;1475000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2002-02-16;А;3;41;10;19;27;21;29;17433;5;1234;43;26;1668;0;1535000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2002-02-20;Б;4;14;38;27;17;29;12;15741;5;1275;43;31;1435;0;1600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;2002-02-23;Б;2;34;12;32;25;5;28;11989;5;706;83;15;3145;0;1660000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2002-02-27;А;2;17;39;38;22;42;16;10896;5;476;120;7;6554;0;1725000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2002-03-02;А;3;3;24;36;30;40;20;13576;5;797;79;15;3384;0;1800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;2002-03-06;Б;3;40;11;33;29;17;34;23780;5;1320;74;16;4899;0;2000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2002-03-09;Б;1;28;20;2;25;16;9;17090;5;1210;48;19;2467;0;2040000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2002-03-13;Б;1;2;24;14;38;5;12;14951;5;902;74;23;2328;0;2100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2002-03-16;А;1;8;4;36;43;23;40;14324;5;833;78;16;3272;0;2155000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2002-03-20;Б;1;2;40;1;16;21;22;16435;5;874;86;7;8684;0;2220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
